Loss_Without_PCA,Loss_With_PCA
2.952831102454144,1.927316022955853
1.625217344449914,1.5820687957431958
0.864882406981095,1.2060939203137937
0.6177857401578323,0.8916675267012223
0.5112972933313121,0.719794222842092
0.459026751310929,0.6271646735460862
0.41099759158880816,0.5497882055199664
0.3634818908960923,0.5080670455227727
0.33800439730934473,0.4703996349935946
0.3048406230366748,0.4305218354515407
0.29269223368686176,0.4084814728602119
0.2714126874571261,0.37651423332483874
0.2540092092493306,0.35418644547462463
0.24641877736734308,0.3421581711458123
0.23089161094116128,0.32946065327395563
0.21838384737139163,0.32219761674818787
0.20633323328650516,0.30420936125776044
0.19920702570158502,0.29136805754640827
0.18361717251979787,0.28628437868926837
0.18792742004861002,0.28311204003251117
0.18154742746897365,0.28071216752995615
0.1778109980666119,0.26649690387041675
0.16059700545409453,0.26054190131633176
0.15733139832382617,0.2559599377538847
0.16200035583713782,0.24862023183832999
0.1539324606242387,0.2453535425922145
0.14897676865043846,0.24001893368752106
0.1461143655621487,0.23900684681923492
0.13481377291938532,0.2375423574577207
0.1342304883443791,0.24167835323706918
0.13587786241070085,0.22940347505652386
0.13284180410530255,0.23677390911009
0.12316457117381303,0.23199403512737024
0.12373974263344122,0.23571369246296262
0.11773409532464069,0.22145089539496796
0.11031466082710287,0.22253372196270071
0.10794431724302146,0.22003298819712971
0.10889025664199954,0.21444027968074963
0.10299266567048819,0.21389185442872669
0.11306929070016612,0.21833475355220877
0.11109950328650682,0.21304097026586533
0.10110482168586357,0.2088872297950413
0.09938109568927599,0.20695801079273224
0.09268778044244518,0.2057660413177117
0.1013108491897583,0.2012063530476197
0.09118004515767097,0.19923428672811258
0.09393778313761172,0.20266542583703995
0.09161222045836241,0.1954892276097899
0.08641834508465684,0.1954641121885051
0.08184026793131362,0.1956166851779689
0.08378483565605205,0.19798780297455582
0.0873438906248497,0.19450927169426627
0.0798019741702339,0.1962861690832221
0.08208015488217706,0.19027508114990982
0.08560585882514715,0.18454353478939636
0.07590029724752126,0.18880278714325116
0.07627645394076472,0.18725732033667358
0.0701908367159574,0.18828277986334718
0.0714200978855724,0.18234306055566538
0.06910411106503528,0.18006243006042813
0.07276841637718937,0.17976039032573285
0.07268149430013221,0.18079436100695445
0.06401039359321736,0.18131833555905716
0.06262479192050903,0.17952053248882294
0.06441250483950843,0.1746752968300944
0.06204205838477482,0.17263808846473694
0.058159571788881134,0.17333464810381766
0.05701118987053633,0.1723235479515532
0.057656074448934065,0.16548965895629447
0.05954259787888631,0.16900418876953746
0.06158074991696555,0.17293289822080862
0.06091357654203539,0.16335344573725824
0.05665739127637252,0.16716885615302168
0.05335779164148414,0.16827464557212332
0.0506007458569239,0.16303020043541555
0.053256633043613125,0.16267463062768397
0.051160959283942764,0.1601826056190159
0.05132469279772561,0.1571352704549613
0.051562157014141914,0.1574362923755594
0.04808753935377235,0.15851129575268083
0.0535415586732004,0.1581604218353396
0.04467877302237827,0.15427538347632988
0.041506639175602926,0.15184567237029906
0.04679704044500123,0.15211072515534318
0.04732396963821805,0.15167682844659555
0.04563858362076723,0.15288423325704492
0.04181347813700204,0.15828113047325093
0.03980960510671139,0.1504093345416629
0.04114376794060935,0.1493684864886429
0.04258041122280385,0.14715059619882834
0.03890087647849451,0.1431596812022769
0.039603022898992764,0.14385567799858426
0.03538622881245354,0.14439959143814834
0.03442474383779842,0.14841503083058025
0.034426395781338215,0.14279689510231433
0.03617795597275962,0.14430954866111279
0.03411284135654569,0.1518682609109775
0.03568389317850866,0.14546100665693698
0.03653902742687775,0.1413754664523446
0.03075332501295792,0.1389254028706447
